carid,model,mpg,cylinders,displacement,horsepower,weight,acceleration,year
1,100LS,24,4,107,90,2430,14.5,70
2,100LS,20,4,114,91,2582,14,73
3,100LS,23,4,115,95,2694,15,75
4,Dasher,26,4,97,46,1835,20.5,70
5,12Tl,26,4,96,69,2189,18,72
6,1200,35,4,72,69,1613,18,71
7,124 Sport Coupe,26,4,98,90,2265,15.5,73
8,124 Sport Coupe,26,4,116,75,2246,14,74
9,124 Sport Coupe,30,4,88,76,2065,14.5,71
10,128,29,4,68,49,1867,19.5,73
11,128,24,4,90,75,2108,15.5,74
12,12Tl,27,4,101,83,2202,15.3,76
13,131,28,4,107,86,2464,15.5,76
14,144EA,19,4,121,112,2868,15.5,73
15,144EA,18,4,121,112,2933,14.5,72
16,18I,34.5,4,100,NULL,2320,15.8,81
17,1900,28,4,116,90,2123,14,71
18,1900,25,4,116,81,2220,16.9,76
19,200-SX,23.9,4,119,97,2405,14.9,78
20,2002,26,4,121,113,2234,12.5,70
21,200-SX,32.9,4,119,100,2615,14.8,81
22,210,31.8,4,85,65,2020,19.2,79
23,210,40.8,4,85,65,2110,19.2,80
24,210,37,4,85,65,1975,19.4,81
25,240D,30,4,146,67,3250,21.8,80
26,245,22,4,121,98,2945,14.5,75
27,245,20,4,130,102,3150,15.7,76
28,264Gl,17,6,163,125,3140,13.6,78
29,210,32.7,6,168,132,2910,11.4,80
30,280S,16.5,6,168,120,3820,16.7,76
31,300D,25.4,5,183,77,3530,20.1,79
32,304,30,4,79,70,2074,19.5,71
33,310,37.2,4,86,65,2019,16.4,80
34,310,38,4,91,67,1995,16.2,82
35,320I,21.5,4,121,110,2600,12.8,77
36,4000,34.3,4,97,78,2188,15.8,80
37,Dasher,22,4,121,76,2511,18,72
38,5 GTL,36,4,79,58,1825,18.6,77
39,5000,20.3,5,131,103,2830,15.9,78
40,5000,36.4,5,121,67,2950,19.9,80
41,504,25,4,110,87,2672,17.5,70
42,504,23,4,120,88,2957,17,75
43,504,19,4,120,88,3270,21.9,76
44,504,27.2,4,141,71,3190,24.8,79
45,504,21,4,120,87,2979,19.5,72
46,504,28.1,4,141,80,3230,20.4,81
47,510,27.2,4,119,97,2300,14.7,78
48,510,28,4,97,92,2288,17,72
49,510 Hatchback,37,4,119,92,2434,15,80
50,504,16.2,6,163,133,3410,15.8,78
51,610,22,4,108,94,2379,16.5,73
52,626,31.3,4,120,75,2542,17.5,80
53,626,31.6,4,120,74,2635,18.3,81
54,710,32,4,83,61,2003,19,74
55,710,24,4,119,97,2545,17,75
56,810,22,6,146,97,2815,14.5,77
57,810,24.2,6,146,120,2930,13.8,81
58,99Le,25,4,104,95,2375,17.5,70
59,99Le,21.6,4,121,115,2795,15.7,78
60,99Le,24,4,121,110,2660,14,73
61,99Le,25,4,121,115,2671,13.5,75
62,Accord,32.4,4,107,72,2290,17,80
63,Accord,36,4,107,75,2205,14.5,82
64,Accord,31.5,4,98,68,2045,18.5,77
65,Accord,29.5,4,98,68,2135,16.6,78
66,Ambassador,13,8,360,175,3821,11,73
67,Ambassador,15,8,390,190,3850,8.5,70
68,Ambassador,17,8,304,150,3672,11.5,72
69,Aries,29,4,135,84,2525,16,82
70,Aries Wagon,25.8,4,156,92,2620,14.4,81
71,Arrow GS,25.5,4,122,96,2300,15.5,77
72,Aspen,18.6,6,225,110,3620,18.7,78
73,Aspen,19.1,6,225,90,3381,18.7,80
74,Aspen,20.6,6,225,110,3360,16.6,79
75,Aspen,20,6,225,100,3651,17.7,76
76,Astro,23,4,140,78,2592,18.5,75
77,B210,32,4,85,70,1990,17,76
78,B210,31,4,79,67,1950,19,74
79,B210,39.4,4,85,70,2070,18.6,78
80,Barracuda 340,14,8,340,160,3609,8,70
81,Bel Air,15,8,350,145,4440,14,75
82,C10,13,8,350,145,4055,12,76
83,C20,10,8,307,200,4376,15,70
84,Camaro,27,4,151,90,2950,17.3,82
85,Capri,23,4,122,86,2220,14,71
86,Capri,25,4,140,92,2572,14.9,76
87,Capri,21,6,155,107,2472,14,73
88,Caprice Classic,13,8,400,150,4464,12,73
89,Caprice Classic,17.5,8,305,145,3880,12.5,77
90,Caprice Classic,17,8,305,130,3840,15.4,79
91,Carina,20,4,97,88,2279,19,73
92,Catalina,14,8,455,225,4425,10,70
93,Catalina,14,8,400,175,4385,12,72
94,Catalina,16,8,400,170,4668,11.5,75
95,Catalina,14,8,400,175,4464,11.5,71
96,Cavalier,28,4,112,88,2605,19.6,82
97,Cavalier,34,4,112,88,2395,18,81
98,Cavalier,27,4,112,88,2640,18.6,80
99,Celica,32,4,144,96,2665,13.9,82
100,Celica,21.1,4,134,95,2515,14.8,78
101,Century,17,6,231,110,3907,21,75
102,Century,22.4,6,231,110,3415,15.8,81
103,Century,13,8,350,175,4100,13,73
104,Century,25,6,181,110,2945,16.4,82
105,Century,13,8,350,150,4699,14.5,74
106,Century,20.6,6,231,105,3380,15.8,78
107,Challenger,15,8,383,170,3563,10,70
108,Champ,39,4,86,64,1875,16.4,81
109,Charger,36,4,135,84,2370,13,82
110,Chevelle Concours,13,8,307,130,4098,14,72
111,Chevelle Malibu,18,8,307,130,3504,12,70
112,Chevelle Malibu,17,6,250,100,3329,15.5,71
113,Chevelle Malibu,16,6,250,105,3897,18.5,75
114,Chevelle Malibu,16,6,250,100,3781,17,74
115,Chevelle Malibu,17.5,8,305,140,4215,13,76
116,Chevette,29,4,85,52,2035,22.2,76
117,Chevette,30.5,4,98,63,2051,17,77
118,Chevette,30,4,98,68,2155,16.5,78
119,Chevette,32.1,4,98,70,2120,15.5,80
120,Citation,28.8,6,173,115,2595,11.3,79
121,Citation,28,4,151,90,2678,16.5,80
122,Citation,23.5,6,173,110,2725,12.6,81
123,Civic,24,4,120,97,2489,15,74
124,Civic,33,4,91,53,1795,17.4,76
125,Civic,38,4,91,67,1965,15,82
126,Civic,32,4,91,67,1965,15.7,82
127,Civic,35.1,4,81,60,1760,16.1,81
128,Civic,44.6,4,91,67,1850,13.8,80
129,Civic,33,4,91,53,1795,17.5,75
130,Civic,36.1,4,91,60,1800,16.4,78
131,Colt,28,4,90,75,2125,14.5,74
132,Colt,26,4,98,79,2255,17.7,76
133,Colt,27.9,4,156,105,2800,14.4,80
134,Colt,28,4,98,80,2164,15,72
135,Colt Hardtop,25,4,97.5,80,2126,17,72
136,Colt Hatchback,35.7,4,98,80,1915,14.4,79
137,Colt,33.5,4,98,83,2075,15.9,77
138,Concord,19.4,6,232,90,3210,17.2,78
139,Concord,24.3,4,151,90,3003,20.1,80
140,Concord,18.1,6,258,120,3410,15.1,78
141,Concord,23,4,151,NULL,3035,20.5,82
142,Concord,20.2,6,232,90,3265,18.2,79
143,Concours,17.5,6,250,110,3520,16.4,77
144,Cordoba,15.5,8,400,190,4325,12.2,77
145,Corolla,29,4,97,75,2171,16,75
146,Corolla,28,4,97,75,2155,16.4,76
147,Corolla,32.2,4,108,75,2265,15.2,80
148,Corolla,32.4,4,108,75,2350,16.8,81
149,Corolla,34,4,108,70,2245,16.9,82
150,Corolla,31,4,71,65,1773,19,71
151,Corolla,32,4,71,65,1836,21,74
152,Corolla,27,4,97,88,2100,16.5,72
153,Corolla,26,4,97,75,2265,18.2,77
154,Corolla,38.1,4,89,60,1968,18.8,80
155,Corona,25,4,113,95,2228,14,71
156,Corona,31,4,76,52,1649,16.5,74
157,Corona,24,4,134,96,2702,13.5,75
158,Corona,27.5,4,134,95,2560,14.2,78
159,Corona,24,4,113,95,2278,15.5,72
160,Corona,29.8,4,134,90,2711,15.5,80
161,Corona,24,4,113,95,2372,15,70
162,Corona,23,4,120,97,2506,14.5,72
163,Coronet,16,8,318,150,4190,13,76
164,Coronet,15,8,318,150,3777,12.5,73
165,Coronet,14,8,318,150,4457,13.5,74
166,Cougar,15,8,302,130,4295,14.9,77
167,Country,12,8,400,167,4906,12.5,73
168,Country Squire,13,8,400,170,4746,12,71
169,Country Squire,15.5,8,351,142,4054,14.3,79
170,Cressida,25.4,6,168,116,2900,12.6,81
171,Cricket,26,4,91,70,1955,20.5,71
172,Custom Suburb,13,8,360,170,4654,13,73
173,Cutlass Ciera,38,6,262,85,3015,17,82
174,Cutlass Ciera,26.6,8,350,105,3725,19,81
175,Cutlass Salon,19.9,8,260,110,3365,15.5,78
176,Cutlass Salon,23.9,8,260,90,3420,22.2,79
177,Cutlass Salon,17,8,260,110,4060,19,77
178,D100,13,8,318,150,3755,14,76
179,D100,11,8,318,210,4382,13.5,70
180,Dart,15,8,318,150,3399,11,73
181,Dasher,26,4,79,67,1963,15.5,74
182,Dasher,25,4,90,71,2223,16.5,75
183,Dasher,30.5,4,97,78,2190,14.1,77
184,Dasher (Diesel),43.4,4,90,48,2335,23.7,80
185,Delta 88 Royale,12,8,350,160,4456,13.5,72
186,264Gl,30.7,6,145,76,3160,19.6,81
187,Diplomat,19.4,8,318,140,3735,13.2,78
188,DL Wagon,33.8,4,97,67,2145,18,80
189,Duster,22,6,198,95,2833,15.5,70
190,Duster,23,6,198,95,2904,16,73
191,Duster,20,6,198,95,3102,16.5,74
192,Eldorado,23,8,350,125,3900,17.4,79
193,Electra,12,8,455,225,4951,11,73
194,Escort,29.9,4,98,65,2380,20.7,81
195,Escort,34.4,4,98,65,2045,16.2,81
196,Estate Wagon,14,8,455,225,3086,10,70
197,Estate Wagon,16.9,8,350,155,4360,14.9,79
198,F-10 Hatchback,33.5,4,85,70,1945,16.8,77
199,F108,13,8,302,130,3870,15,76
200,F250,10,8,360,215,4615,14,70
201,Fairmont,26.4,4,140,88,2870,18.1,80
202,Fairmont,20.2,6,200,85,2965,15.8,78
203,Fairmont,25.1,4,140,88,2720,15.4,78
204,Fairmont,22.3,4,140,88,2890,17.3,79
205,Fairmont,24,4,140,92,2865,16.4,82
206,Fiesta,36.1,4,98,66,1800,14.4,78
207,Firebird,19,6,250,100,3282,15,71
208,Forester,30,4,97,67,1985,16.4,77
209,Fox,29,4,98,83,2219,16.5,74
210,Fury,18,6,225,95,3785,19,75
211,Fury,14,8,318,150,4237,14.5,73
212,Fury,14,8,440,215,4312,8.5,70
213,Fury,14,8,318,150,4096,13,71
214,Fury,15,8,318,150,4135,13.5,72
215,Futura,18.1,8,302,139,3205,11.2,78
216,Galaxie 500,15,8,429,198,4341,10,70
217,Galaxie 500,14,8,351,153,4154,13.5,71
218,Galaxie 500,14,8,351,153,4129,13,72
219,GLC,46.6,4,86,65,2110,17.9,80
220,GLC,34.1,4,91,68,1985,16,81
221,GLC,31,4,91,68,1970,17.6,82
222,GLC,37,4,91,68,2025,18.2,82
223,GLC,32.8,4,78,52,1985,19.4,78
224,GLC,34.1,4,86,65,1975,15.2,79
225,Gran Torino,14,8,302,137,4042,14.5,73
226,Gran Torino,16,8,302,140,4141,14,74
227,Gran Torino,14.5,8,351,152,4215,12.8,76
228,Gran Torino,13,8,302,140,4294,16,72
229,Gran Torino,14,8,302,140,4638,16,74
230,Granada,18.5,6,250,98,3525,19,77
231,Granada,18,6,250,78,3574,21,76
232,Granada,20.2,6,200,88,3060,17.1,81
233,Granada,22,6,232,112,2835,14.7,82
234,Fury,16,8,318,150,4498,14.5,75
235,Grand Marquis,16.5,8,351,138,3955,13.2,79
236,Grand Prix,16,8,400,230,4278,9.5,73
237,Grand Prix,16,8,400,180,4220,11.1,77
238,Gremlin,21,6,199,90,2648,15,70
239,Gremlin,19,6,232,100,2634,13,71
240,Gremlin,18,6,232,100,2789,15,73
241,Gremlin,20,6,232,100,2914,16,75
242,Horizon,34.2,4,105,70,2200,13.2,79
243,Horizon,34.7,4,105,63,2215,14.9,81
244,Horizon,38,4,105,63,2125,14.7,82
245,Horizon,34.5,4,105,70,2150,14.9,79
246,Hornet,18,6,199,97,2774,15.5,70
247,Hornet,18,6,232,100,2945,16,73
248,Hornet,19,6,232,100,2901,16,74
249,Hornet,22.5,6,232,90,3085,17.6,76
250,Hornet,18,6,258,110,2962,13.5,71
251,Impala,14,8,454,220,4354,9,70
252,Impala,14,8,350,165,4209,12,71
253,Impala,13,8,350,165,4274,12,72
254,Impala,11,8,400,150,4997,14,73
255,Impreza,32.3,4,97,67,2065,17.8,81
256,J2000 Se Hatchback,31,4,112,85,2575,16.2,82
257,Jetta,33,4,105,74,2190,14.2,81
258,Lebaron,26,4,156,92,2585,14.5,82
259,Lebaron,17.6,6,225,85,3465,16.6,81
260,Lebaron,18.5,8,360,150,3940,13,79
261,Lemans V6,21.5,6,231,115,3245,15.4,79
262,Lesabre Custom,13,8,350,155,4502,13.5,72
263,Ltd Landau,13,8,351,158,4363,13,73
264,Ltd Landau,14,8,351,148,4657,13.5,75
265,Ltd Landau,17.6,8,302,129,3725,13.4,79
266,Lynx L,36,4,98,70,2125,17.3,82
267,Magnum XE,17.5,8,318,140,4080,13.7,78
268,Malibu,13,8,350,145,3988,13,73
269,Malibu,20.5,6,200,95,3155,18.2,78
270,Malibu,19.2,8,267,125,3605,15,79
271,Manta,24,4,116,75,2158,15.5,73
272,Manta,26,4,97,78,2300,14.5,74
273,Mark II,20,6,156,122,2807,13.5,73
274,Mark II,19,6,156,108,2930,15.5,76
275,Marquis,11,8,429,208,4633,11,72
276,Marquis,12,8,429,198,4952,11.5,73
277,Matador,18,6,232,100,3288,15.5,71
278,Matador,14,8,304,150,3672,11.5,73
279,Matador,16,6,258,110,3632,18,74
280,Matador,15,6,258,110,3730,19,75
281,Matador,15.5,8,304,120,3962,13.9,76
282,Matador,15,8,304,150,3892,12.5,72
283,Matador,14,8,304,150,4257,15.5,74
284,Maverick,21,6,200,85,2587,16,70
285,Maverick,18,6,250,88,3021,16.5,73
286,Maverick,15,6,250,72,3158,19.5,75
287,Maverick,24,6,200,81,3012,17.6,76
288,Model 111,27,4,97,60,1834,19,71
289,Monaco,12,8,383,180,4955,11.5,71
290,Monaco,15.5,8,318,145,4140,13.7,77
291,Monarch,15,6,250,72,3432,21,75
292,Monarch,20.2,8,302,139,3570,12.8,78
293,Monte Carlo,15,8,400,150,3761,9.5,70
294,Monte Carlo,15.5,8,350,170,4165,11.4,77
295,Monte Carlo,19.2,8,305,145,3425,13.2,78
296,Monte Carlo,15,8,350,145,4082,13,73
297,Monza,20,8,262,110,3221,13.5,75
298,Mustang,18,6,250,88,3139,14.5,71
299,Mustang,27,4,140,86,2790,15.6,82
300,Mustang,13,8,302,129,3169,12,75
301,Mustang,25.5,4,140,89,2755,15.8,77
302,New Yorker Brougham,13,8,440,215,4735,11,73
303,Newport Royal,13,8,400,190,4422,12.5,72
304,Nova,15,6,250,100,3336,17,74
305,Nova,18,6,250,105,3459,16,75
306,Nova,22,6,250,105,3353,14.5,76
307,Nova,16,6,250,100,3278,18,73
308,Omega,11,8,350,180,3664,11,73
309,Omega,26.8,6,173,115,2700,12.9,79
310,Omni,30.9,4,105,75,2230,14.5,78
311,Opel Isuzu DeluXE,30,4,111,80,2155,14.8,77
312,Outback,26,4,108,93,2391,15.5,74
313,Pacer,19,6,232,90,3211,17,75
314,Pacer,17.5,6,258,95,3193,17.8,76
315,Phoenix,33.5,4,151,90,2556,13.2,79
316,Phoenix,27,4,151,90,2735,18,82
317,Phoenix,19.2,6,231,105,3535,19.2,78
318,Pickup,44,4,97,52,2130,24.6,82
319,Pinto,19,4,122,85,2310,18.5,73
320,Pinto,26,4,122,80,2451,16.5,74
321,Pinto,23,4,140,83,2639,17,75
322,Pinto,18,6,171,97,2984,14.5,75
323,Pinto,26.5,4,140,72,2565,13.6,76
324,Pinto,22,4,122,86,2395,16,72
325,Pinto,21,4,122,86,2226,16.5,72
326,Pl510,27,4,97,88,2130,14.5,70
327,Pl510,27,4,97,88,2130,14.5,71
328,Prelude,33.7,4,107,75,2210,14.4,81
329,Rabbit,29,4,90,70,1937,14,75
330,Rabbit,29.5,4,97,71,1825,12.2,76
331,Super Beetle,29.8,4,89,62,1845,15.3,80
332,Rabbit,29,4,90,70,1937,14.2,76
333,Scirocco,41.5,4,98,76,2144,14.7,80
334,Rabbit,44.3,4,90,48,2085,21.7,80
335,Rabbit,29,4,97,78,1940,14.5,77
336,Rabbit,31.9,4,89,71,1925,14,79
337,Rabbit,43.1,4,90,48,1985,21.5,78
338,Rabbit L,36,4,105,74,1980,15.3,82
339,Rampage,32,4,135,84,2295,11.6,82
340,Ranger,28,4,120,79,2625,18.6,82
341,Rebel Sst,16,8,304,150,3433,12,70
342,Regal Sport Coupe,17.7,6,231,165,3445,13.4,78
343,Reliant,27.2,4,135,84,2490,15.7,81
344,Reliant,30,4,135,84,2385,12.9,81
345,Rx-4,21.5,3,80,110,2720,13.5,77
346,Rx-7 GS,23.7,3,70,100,2420,12.5,80
347,Rx2 Coupe,19,3,70,97,2330,13.5,72
348,Rx3,18,3,70,90,2124,13.5,73
349,S-10,31,4,119,82,2720,19.4,82
350,Safari,13,8,400,175,5140,12,71
351,Sapporo,23.2,4,156,105,2745,16.7,78
352,Satellite,18,8,318,150,3436,11,70
353,Satellite,16,6,225,105,3439,15.5,71
354,Satellite,14,8,318,150,4077,14,72
355,Satellite,18,6,225,105,3613,16.5,74
356,Scirocco,31.5,4,89,71,1990,14.9,78
357,Seville,16.5,8,350,180,4380,12.1,76
358,Skyhawk,21,6,231,110,3039,15,75
359,Skylark,20.5,6,231,105,3425,16.9,77
360,Skylark,26.6,4,151,84,2635,16.4,81
361,Skylark,15,8,350,165,3693,11.5,70
362,Skylark,28.4,4,151,90,2670,16,79
363,Spirit Dl,27.4,4,121,80,2670,15,79
364,St. Regis,18.2,8,318,135,3830,15.2,79
365,Stanza XE,36,4,120,88,2160,14.5,82
366,Starfire SX,23.8,4,151,85,2855,17.6,78
367,Starlet,39.1,4,79,58,1755,16.9,81
368,Strada,37.3,4,91,69,2130,14.7,79
369,Sunbird Coupe,24.5,4,151,88,2740,16,77
370,Super Beetle,26,4,97,46,1950,21,73
371,Tercel,37.7,4,89,62,2050,17.3,81
372,Thunderbird,16,8,351,149,4335,14.5,77
373,Torino,17,8,302,140,3449,10.5,70
374,Torino,19,6,250,88,3302,15.5,71
375,Tr7 Coupe,35,4,122,88,2500,15.1,80
376,Type 3,23,4,97,54,2254,23.5,72
377,Valiant,18,6,225,105,3121,16.5,73
378,Valiant,22,6,225,100,3233,15.4,76
379,Valiant,19,6,225,95,3264,16,75
380,Vega,20,4,140,90,2408,19.5,72
381,Vega,21,4,140,72,2401,19.5,73
382,Vega,25,4,140,75,2542,17,74
383,Vega,22,4,140,72,2408,19,71
384,Vega,28,4,140,90,2264,15.5,71
385,Ventura SJ,18.5,6,250,110,3645,16.2,76
386,Vista Cruiser,12,8,350,180,4499,12.5,73
387,Volare,20.5,6,225,100,3430,17.2,78
388,Volare,19,6,225,100,3630,17.7,77
389,Volare,13,8,318,150,3940,13.2,76
390,Woody,24.5,4,98,60,2164,22.1,76
391,X1.9,31,4,79,67,2000,16,74
392,Zephyr,20.8,6,200,85,3070,16.7,78
393,Zephyr,19.8,6,200,85,2990,18.2,79